Time,COOP_CWK_R1,COOP_Cuisine_R1,COOP_ENERC_MEZZ,COOP_ENER_R2,COOP_Péniche_R1,T° EXT
2020-09-25 15:45:42,,,,,25.5,20.5
2020-09-25 16:15:42,,,,,23.0,20
2020-09-25 16:45:42,,,,,23.0,19.5
2020-09-25 17:15:42,,,,,23.0,19.5
2020-09-25 17:45:42,,,,,23.0,20
2020-09-25 18:15:42,,,,,23.0,20
2020-09-25 18:45:42,,,,,23.0,20
2020-09-25 19:15:42,,,,,23.0,20
2020-09-25 19:45:42,,,,,22.5,20
2020-09-25 20:15:42,,,,,22.5,20
2020-09-25 20:45:42,,,,,22.5,20
2020-09-25 21:15:42,,,,,22.5,20
2020-09-25 21:45:42,,,,,22.5,20
2020-09-25 22:15:42,,,,,22.0,20
2020-09-25 22:45:42,,,,,22.0,20
2020-09-25 23:15:42,,,,,22.0,20
2020-09-25 23:45:42,,,,,22.0,20
2020-09-26 00:15:42,,,,,22.0,20.5
2020-09-26 00:45:42,,,,,22.0,20.5
2020-09-26 01:15:42,,,,,22.0,20.5
2020-09-26 01:45:42,,,,,22.0,20.5
2020-09-26 02:15:42,,,,,22.0,20
2020-09-26 02:45:42,,,,,22.0,20
2020-09-26 03:15:42,,,,,22.0,20
2020-09-26 03:45:42,,,,,22.0,20
2020-09-26 04:15:42,,,,,22.0,20
2020-09-26 04:45:42,,,,,22.0,20
2020-09-26 05:15:42,,,,,22.0,20
2020-09-26 05:45:42,,,,,22.0,20
2020-09-26 06:15:42,,,,,21.5,20
2020-09-26 06:45:42,,,,,21.5,20
2020-09-26 07:15:42,,,,,21.5,20
2020-09-26 07:45:42,,,,,21.5,20
2020-09-26 08:15:42,,,,,21.5,20
2020-09-26 08:45:42,,,,,21.5,20
2020-09-26 09:15:42,,,,,21.5,20
2020-09-26 09:45:42,,,,,21.5,20
2020-09-26 10:15:42,,,,,21.5,20
2020-09-26 10:45:42,,,,,21.5,19.5
2020-09-26 11:15:42,,,,,21.5,19.5
2020-09-26 11:45:42,,,,,21.5,19.5
2020-09-26 12:15:42,,,,,21.5,19.5
2020-09-26 12:45:42,,,,,21.5,19.5
2020-09-26 13:15:42,,,,,21.5,19.5
2020-09-26 13:45:42,,,,,21.5,19.5
2020-09-26 14:15:42,,,,,21.5,19.5
2020-09-26 14:45:42,,,,,21.5,19.5
2020-09-26 15:15:42,,,,,21.5,19.5
2020-09-26 15:45:42,,,,,21.5,19.5
2020-09-26 16:15:42,,,,,21.5,20
2020-09-26 16:45:42,,,,,21.5,20
2020-09-26 17:15:42,,,,,21.5,20
2020-09-26 17:45:42,,,,,21.5,20
2020-09-26 18:15:42,,,,,21.0,20
2020-09-26 18:45:42,,,,,21.0,20
2020-09-26 19:15:42,,,,,21.0,20
2020-09-26 19:45:42,,,,,21.0,20
2020-09-26 20:15:42,,,,,21.0,20.5
2020-09-26 20:45:42,,,,,21.0,20.5
2020-09-26 21:15:42,,,,,21.0,20.5
2020-09-26 21:45:42,,,,,21.0,20.5
2020-09-26 22:15:42,,,,,21.0,20.5
2020-09-26 22:45:42,,,,,21.0,21
2020-09-26 23:15:42,,,,,20.5,21
2020-09-26 23:45:42,,,,,20.5,21
2020-09-27 00:15:42,,,,,20.5,21
2020-09-27 00:45:42,,,,,20.5,21.5
2020-09-27 01:15:42,,,,,20.5,21
2020-09-27 01:45:42,,,,,20.5,21
2020-09-27 02:15:42,,,,,20.5,21
2020-09-27 02:45:42,,,,,20.5,21
2020-09-27 03:15:42,,,,,20.5,21
2020-09-27 03:45:42,,,,,20.5,21
2020-09-27 04:15:42,,,,,20.5,21
2020-09-27 04:45:42,,,,,20.5,21
2020-09-27 05:15:42,,,,,20.5,21
2020-09-27 05:45:42,,,,,20.5,21
2020-09-27 06:15:42,,,,,20.5,21
2020-09-27 06:45:42,,,,,20.5,21
2020-09-27 07:15:42,,,,,20.5,21
2020-09-27 07:45:42,,,,,20.5,21
2020-09-27 08:15:42,,,,,20.0,20.5
2020-09-27 08:45:42,,,,,20.0,20.5
2020-09-27 09:15:42,,,,,20.0,20.5
2020-09-27 09:45:42,,,,,20.0,20.5
2020-09-27 10:15:42,,,,,20.0,20.5
2020-09-27 10:45:42,,,,,20.0,20.5
2020-09-27 11:15:42,,,,,20.0,20.5
2020-09-27 11:45:42,,,,,20.0,20.5
2020-09-27 12:15:42,,,,,20.0,20.5
2020-09-27 12:45:42,,,,,20.0,20.5
2020-09-27 13:15:42,,,,,20.0,20.5
2020-09-27 13:45:42,,,,,20.0,20.5
2020-09-27 14:15:42,,,,,20.0,20.5
2020-09-27 14:45:42,,,,,20.0,20.5
2020-09-27 15:15:42,,,,,20.0,20.5
2020-09-27 15:45:42,,,,,20.0,20.5
2020-09-27 16:15:42,,,,,20.0,20.5
2020-09-27 16:45:42,,,,,20.0,20.5
2020-09-27 17:15:42,,,,,20.0,20.5
2020-09-27 17:45:42,,,,,20.0,20.5
2020-09-27 18:15:42,,,,,20.0,21
2020-09-27 18:45:42,,,,,20.0,21
2020-09-27 19:15:42,,,,,20.0,21
2020-09-27 19:45:42,,,,,19.5,21
2020-09-27 20:15:42,,,,,19.5,21
2020-09-27 20:45:42,,,,,19.5,21
2020-09-27 21:15:42,,,,,19.5,21.5
2020-09-27 21:45:42,,,,,19.5,21.5
2020-09-27 22:15:42,,,,,19.5,21.5
2020-09-27 22:45:42,,,,,19.5,21.5
2020-09-27 23:15:42,,,,,19.5,21.5
2020-09-27 23:45:42,,,,,19.5,22
2020-09-28 00:15:42,,,,,19.5,22
2020-09-28 00:45:42,,,,,19.5,22.5
2020-09-28 01:15:42,,,,,19.5,22
2020-09-28 01:45:42,,,,,19.5,22
2020-09-28 02:15:42,,,,,19.5,22
2020-09-28 02:45:42,,,,,19.5,22
2020-09-28 03:15:42,,,,,19.5,22
2020-09-28 03:45:42,,,,,19.5,22
2020-09-28 04:15:42,,,,,19.5,22
2020-09-28 04:45:42,,,,,19.5,22
2020-09-28 05:15:42,,,,,19.5,22
2020-09-28 05:45:42,,,,,19.5,22
2020-09-28 06:15:42,,,,,19.5,22
2020-09-28 06:45:42,,,,,19.5,22
2020-09-28 07:15:42,,,,,19.0,22
2020-09-28 07:45:42,,,,,19.0,22
2020-09-28 08:15:42,,,,,19.0,22
2020-09-28 08:45:42,,,,,19.0,21.5
2020-09-28 09:15:42,,,,,19.0,21.5
2020-09-28 09:45:42,,,,,19.5,21.5
2020-09-28 10:15:42,,,,,19.5,21.5
2020-09-28 10:45:42,,,,,19.5,21.5
2020-09-28 11:15:42,,,,,19.5,21.5
2020-09-28 11:45:42,,,,,19.5,21.5
2020-09-28 12:15:42,,,,,19.5,21.5
2020-09-28 12:45:42,,,,,19.5,21.5
2020-09-28 13:15:42,,,,,19.5,21.5
2020-09-28 13:45:42,,,,,19.5,21
2020-09-28 14:15:42,,,,,19.5,21
2020-09-28 14:45:42,,,,,19.5,21
2020-09-28 15:15:42,,,,,19.5,21
2020-09-28 15:45:42,,,,,19.5,21
2020-09-28 16:15:42,,,,,19.5,21
2020-09-28 16:45:42,,,,,19.5,21
2020-09-28 17:15:42,,,,,19.5,21
2020-09-28 17:45:42,,,,,19.5,21
2020-09-28 18:15:42,,,,,19.5,20.5
2020-09-28 18:45:42,,,,,19.5,20.5
2020-09-28 19:15:42,,,,,19.5,20.5
2020-09-28 19:45:42,,,,,19.5,20.5
2020-09-28 20:15:42,,,,,19.5,20.5
2020-09-28 20:45:42,,,,,19.5,20.5
2020-09-28 21:15:42,,,,,19.5,21
2020-09-28 21:45:42,,,,,19.5,21
2020-09-28 22:15:42,,,,,19.5,21
2020-09-28 22:45:42,,,,,19.5,21
2020-09-28 23:15:42,,,,,19.5,21
2020-09-28 23:45:42,,,,,19.5,21.5
2020-09-29 00:15:42,,,,,19.5,21.5
2020-09-29 00:45:42,,,,,19.5,21.5
2020-09-29 01:15:42,,,,,19.5,21.5
2020-09-29 01:45:42,,,,,19.5,21.5
2020-09-29 02:15:42,,,,,19.5,21.5
2020-09-29 02:45:42,,,,,19.5,21.5
2020-09-29 03:15:42,,,,,19.0,21
2020-09-29 03:45:42,,,,,19.0,21
2020-09-29 04:15:42,,,,,19.0,21
2020-09-29 04:45:42,,,,,19.0,21
2020-09-29 05:15:42,,,,,19.0,21
2020-09-29 05:45:42,,,,,19.0,21
2020-09-29 06:15:42,,,,,19.0,21
2020-09-29 06:45:42,,,,,19.0,21
2020-09-29 07:15:42,,,,,19.0,21
2020-09-29 07:45:42,,,,,19.0,20.5
2020-09-29 08:15:42,,,,,19.0,20.5
2020-09-29 08:45:42,,,,,19.0,20.5
2020-09-29 09:15:42,,,,,19.0,20.5
2020-09-29 09:45:42,,,,,19.5,20.5
2020-09-29 10:15:42,,,,,19.5,20.5
2020-09-29 10:45:42,,,,,19.5,20.5
2020-09-29 11:15:42,,,,,19.5,20.5
2020-09-29 11:45:42,,,,,19.5,20.5
2020-09-29 12:15:42,,,,,19.5,20
2020-09-29 12:45:42,,,,,20.0,20
2020-09-29 13:15:42,,,,,20.0,20
2020-09-29 13:45:42,,,,,20.0,20
2020-09-29 14:15:42,,,,,20.0,19.5
2020-09-29 14:45:42,,,,,20.0,19.5
2020-09-29 15:15:42,,,,,20.0,19.5
2020-09-29 15:45:42,,,,,20.0,19.5
2020-09-29 16:15:42,,,,,20.0,19.5
2020-09-29 16:45:42,,,,,20.0,19.5
2020-09-29 17:15:42,,,,,20.0,19.5
2020-09-29 17:45:42,,,,,20.0,19.5
2020-09-29 18:15:42,,,,,20.0,19.5
2020-09-29 18:45:42,,,,,20.0,19.5
2020-09-29 19:15:42,,,,,20.0,19.5
2020-09-29 19:45:42,,,,,20.0,19.5
2020-09-29 20:15:42,,,,,20.0,20
2020-09-29 20:45:42,,,,,20.0,20
2020-09-29 21:15:42,,,,,20.0,20
2020-09-29 21:45:42,,,,,20.0,20
2020-09-29 22:15:42,,,,,20.0,20.5
2020-09-29 22:45:42,,,,,20.0,20.5
2020-09-29 23:15:42,,,,,20.0,20.5
2020-09-29 23:45:42,,,,,20.0,20.5
2020-09-30 00:15:42,,,,,20.0,20.5
2020-09-30 00:45:42,,,,,20.0,20.5
2020-09-30 01:15:42,,,,,19.5,20.5
2020-09-30 01:45:42,,,,,19.5,20.5
2020-09-30 02:15:42,,,,,19.5,20
2020-09-30 02:45:42,,,,,19.5,20
2020-09-30 03:15:42,,,,,19.5,20
2020-09-30 03:45:42,,,,,19.5,20
2020-09-30 04:15:42,,,,,19.5,20
2020-09-30 04:45:42,,,,,19.5,20
2020-09-30 05:15:42,,,,,19.5,20
2020-09-30 05:45:42,,,,,19.5,20
2020-09-30 06:15:42,,,,,19.5,20
2020-09-30 06:45:42,,,,,19.5,20
2020-09-30 07:15:42,,,,,19.5,19.5
2020-09-30 07:45:42,,,,,19.5,19.5
2020-09-30 08:15:42,,,,,19.5,19.5
2020-09-30 08:45:42,,,,,19.5,19.5
2020-09-30 09:15:42,,,,,19.5,19.5
2020-09-30 09:45:42,,,,,19.5,19.5
2020-09-30 10:15:42,,,,,20.0,19.5
2020-09-30 10:45:42,,,,,20.0,19.5
2020-09-30 11:15:42,,,,,20.0,19.5
2020-09-30 11:45:42,,,,,20.0,19
2020-09-30 12:15:42,,,,,20.0,19
2020-09-30 12:45:42,,,,,20.0,19
2020-09-30 13:15:42,,,,,20.0,19
2020-09-30 13:45:42,,,,,20.0,19
2020-09-30 14:15:42,,,,,20.5,19
2020-09-30 14:45:42,,,,,20.5,19
2020-09-30 15:15:42,,,,,20.5,19
2020-09-30 15:45:42,,,,,20.5,19
2020-09-30 16:15:42,,,,,20.5,19
2020-09-30 16:45:42,,,,,20.5,19
2020-09-30 17:15:42,,,,,20.5,19.5
2020-09-30 17:45:42,,,,,20.5,19.5
2020-09-30 18:15:42,,,,,21.0,19.5
2020-09-30 18:45:42,,,,,20.5,19.5
2020-09-30 19:15:42,,,,,20.5,20
2020-09-30 19:45:42,,,,,20.5,20
2020-09-30 20:15:42,,,,,20.5,20
2020-09-30 20:45:42,,,,,20.5,20
2020-09-30 21:15:42,,,,,20.5,20
2020-09-30 21:45:42,,,,,20.5,20
2020-09-30 22:15:42,,,,,20.5,20
2020-09-30 22:45:42,,,,,20.5,20.5
2020-09-30 23:15:42,,,,,20.5,20.5
2020-09-30 23:45:42,,,,,20.5,20.5
2020-10-01 00:15:42,,,,,20.5,20.5
2020-10-01 00:45:42,,,,,20.5,21
2020-10-01 01:15:42,,,,,20.5,20.5
2020-10-01 01:45:42,,,,,20.5,20.5
2020-10-01 02:15:42,,,,,20.5,20.5
2020-10-01 02:45:42,,,,,20.5,20
2020-10-01 03:15:42,,,,,20.5,20
2020-10-01 03:45:42,,,,,20.5,20
2020-10-01 04:15:42,,,,,20.5,20
2020-10-01 04:45:42,,,,,20.5,20
2020-10-01 05:15:42,,,,,20.5,20
2020-10-01 05:45:42,,,,,20.5,20
2020-10-01 06:15:42,,,,,20.5,20
2020-10-01 06:45:42,,,,,20.5,20
2020-10-01 07:15:42,,,,,20.5,20
2020-10-01 07:45:42,,,,,20.5,20
2020-10-01 08:15:42,,,,,20.5,20
2020-10-01 08:45:42,,,,,20.5,20
2020-10-01 09:15:42,,,,,20.5,20
2020-10-01 09:45:42,,,,,21.0,19.5
2020-10-01 10:15:42,,,,,21.0,19.5
2020-10-01 10:45:42,,,,,21.0,19.5
2020-10-01 11:15:42,,,,,21.0,19.5
2020-10-01 11:45:42,,,,,21.0,19.5
2020-10-01 12:15:42,,,,,21.5,19.5
2020-10-01 12:45:42,,,,,21.5,19.5
2020-10-01 13:15:42,,,,,21.5,19.5
2020-10-01 13:45:42,,,,,21.5,19.5
2020-10-01 14:15:42,,,,,21.0,19.5
2020-10-01 14:45:42,,,,,21.5,19.5
2020-10-01 15:15:42,,,,,21.5,19.5
2020-10-01 15:45:42,,,,,21.5,19.5
2020-10-01 16:15:42,,,,,21.5,19.5
2020-10-01 16:45:42,,,,,21.5,19.5
2020-10-01 17:15:42,,,,,21.5,19.5
2020-10-01 17:45:42,,,,,21.5,20
2020-10-01 18:15:42,,,,,21.5,20
2020-10-01 18:45:42,,,,,21.5,20
2020-10-01 19:15:42,,,,,21.5,20
2020-10-01 19:45:42,,,,,21.5,20
2020-10-01 20:15:42,,,,,21.5,20.5
2020-10-01 20:45:42,,,,,21.5,21
2020-10-01 21:15:42,,,,,21.5,21
2020-10-01 21:45:42,,,,,21.0,21
2020-10-01 22:15:42,,,,,21.0,21.5
2020-10-01 22:45:42,,,,,21.0,21.5
2020-10-01 23:15:42,,,,,21.0,21.5
2020-10-01 23:45:42,,,,,21.0,21.5
2020-10-02 00:15:42,,,,,21.0,21.5
2020-10-02 00:45:42,,,,,21.0,21.5
2020-10-02 01:15:42,,,,,21.0,21.5
2020-10-02 01:45:42,,,,,21.0,21.5
2020-10-02 02:15:42,,,,,21.0,21.5
2020-10-02 02:45:42,,,,,21.0,21
2020-10-02 03:15:42,,,,,21.0,21
2020-10-02 03:45:42,,,,,21.0,21
2020-10-02 04:15:42,,,,,21.0,21
2020-10-02 04:45:42,,,,,21.0,21
2020-10-02 05:15:42,,,,,21.0,21
2020-10-02 05:45:42,,,,,21.0,21
2020-10-02 06:15:42,,,,,21.0,21
2020-10-02 06:45:42,,,,,21.0,21
2020-10-02 07:15:42,,,,,21.0,21
2020-10-02 07:45:42,,,,,21.0,21
2020-10-02 08:15:42,,,,,21.0,20.5
2020-10-02 08:45:42,,,,,21.0,20.5
2020-10-02 09:15:42,,,,,21.0,20.5
2020-10-02 09:45:42,,,,,21.0,20.5
2020-10-02 10:15:42,,,,,21.0,20.5
2020-10-02 10:45:42,,,,,21.5,20.5
2020-10-02 11:15:42,,,,,21.5,20.5
2020-10-02 11:45:42,,,,,21.5,20.5
2020-10-02 12:15:42,,,,,21.5,20.5
2020-10-02 12:45:42,,,,,21.5,20.5
2020-10-02 13:15:42,,,,,21.5,20.5
2020-10-02 13:45:42,,,,,21.5,20.5
2020-10-02 14:15:42,,,,,21.5,20.5
2020-10-02 14:45:42,,,,,21.5,20.5
2020-10-02 15:15:42,,,,,21.5,20.5
2020-10-02 15:45:42,,,,,21.5,20.5
2020-10-02 16:15:42,,,,,21.5,20.5
2020-10-02 16:45:42,,,,,21.5,20.5
2020-10-02 17:15:42,,,,,22.0,20.5
2020-10-02 17:45:42,,,,,22.0,20.5
2020-10-02 18:15:42,,,,,22.0,21
2020-10-02 18:45:42,,,,,22.0,21
2020-10-02 19:15:42,,,,,21.5,21
2020-10-02 19:45:42,,,,,21.5,21
2020-10-02 20:15:42,,,,,21.5,21.5
2020-10-02 20:45:42,,,,,21.5,21.5
2020-10-02 21:15:42,,,,,21.5,21.5
2020-10-02 21:45:42,,,,,21.5,21.5
2020-10-02 22:15:42,,,,,21.0,22
2020-10-02 22:45:42,,,,,21.0,22
2020-10-02 23:15:42,,,,,21.0,22
2020-10-02 23:45:42,,,,,21.0,22
2020-10-03 00:15:42,,,,,21.0,22
2020-10-03 00:45:42,,,,,21.0,22
2020-10-03 01:15:42,,,,,21.0,22
2020-10-03 01:45:42,,,,,21.0,22
2020-10-03 02:15:42,,,,,21.0,22
2020-10-03 02:45:42,,,,,21.0,22
2020-10-03 03:15:42,,,,,21.0,21.5
2020-10-03 03:45:42,,,,,21.0,21.5
2020-10-03 04:15:42,,,,,21.0,21.5
2020-10-03 04:45:42,,,,,21.0,21.5
2020-10-03 05:15:42,,,,,21.0,21.5
2020-10-03 05:45:42,,,,,21.0,21.5
2020-10-03 06:15:42,,,,,21.0,21.5
2020-10-03 06:45:42,,,,,21.0,21.5
2020-10-03 07:15:42,,,,,20.5,21.5
2020-10-03 07:45:42,,,,,21.0,21.5
2020-10-03 08:15:42,,,,,20.5,21.5
2020-10-03 08:45:42,,,,,21.0,21.5
2020-10-03 09:15:42,,,,,21.0,21.5
2020-10-03 09:45:42,,,,,21.0,21.5
2020-10-03 10:15:42,,,,,21.0,21.5
2020-10-03 10:45:42,,,,,21.0,21.5
2020-10-03 11:15:42,,,,,21.0,21
2020-10-03 11:45:42,,,,,21.0,21
2020-10-03 12:15:42,,,,,21.0,21
2020-10-03 12:45:42,,,,,21.0,21
2020-10-03 13:15:42,,,,,21.0,21
2020-10-03 13:45:42,,,,,21.0,21
2020-10-03 14:15:42,,,,,21.0,21
2020-10-03 14:45:42,,,,,21.0,21
2020-10-03 15:15:42,,,,,21.0,21
2020-10-03 15:45:42,,,,,21.0,21
2020-10-03 16:15:42,,,,,21.0,21
2020-10-03 16:45:42,,,,,21.0,21
2020-10-03 17:15:42,,,,,21.0,21
2020-10-03 17:45:42,,,,,21.0,21
2020-10-03 18:15:42,,,,,21.0,21
2020-10-03 18:45:42,,,,,21.0,21
2020-10-03 19:15:42,24.5,,,24.0,21.0,21
2020-10-03 19:45:42,23.0,,,20.5,21.0,21
2020-10-03 20:15:42,22.0,,,20.5,21.0,21
2020-10-03 20:45:42,21.5,,,20.5,21.0,21
2020-10-03 21:15:42,21.5,,,20.5,21.0,21.5
2020-10-03 21:45:42,21.5,,,20.0,21.0,21.5
2020-10-03 22:15:42,21.5,,,20.0,21.0,21.5
2020-10-03 22:45:42,21.5,,,20.0,21.0,21.5
2020-10-03 23:15:42,21.5,,,20.0,21.0,21.5
2020-10-03 23:45:42,21.5,,,20.0,21.0,21.5
2020-10-04 00:15:42,21.5,,,20.0,21.0,21.5
2020-10-04 00:45:42,21.5,,,20.0,21.0,22
2020-10-04 01:15:42,21.5,,,20.0,21.0,21.5
2020-10-04 01:45:42,21.5,,,20.0,21.0,21.5
2020-10-04 02:15:42,21.5,,,20.0,21.0,21.5
2020-10-04 02:45:42,21.5,,,20.0,21.0,21.5
2020-10-04 03:15:42,21.5,,,19.5,21.0,21.5
2020-10-04 03:45:42,21.5,,,19.5,21.0,21.5
2020-10-04 04:15:42,21.5,,,19.5,21.0,21.5
2020-10-04 04:45:42,21.5,,,19.5,21.0,21.5
2020-10-04 05:15:42,21.5,,,19.5,21.0,21.5
2020-10-04 05:45:42,21.5,,,19.5,21.0,21.5
2020-10-04 06:15:42,21.5,,,19.5,21.0,21.5
2020-10-04 06:45:42,21.5,,,19.5,21.0,21.5
2020-10-04 07:15:42,21.5,,,19.5,21.0,21.5
2020-10-04 07:45:42,21.5,,,19.5,21.0,21.5
2020-10-04 08:15:42,21.5,,,19.5,21.0,21
2020-10-04 08:45:42,21.5,,,19.5,21.0,21
2020-10-04 09:15:42,21.5,,,19.5,21.0,21
2020-10-04 09:45:42,21.5,,,19.5,21.0,21
2020-10-04 10:15:42,21.5,,,20.0,21.0,21
2020-10-04 10:45:42,21.5,,,20.0,21.0,21
2020-10-04 11:15:42,21.5,,,20.0,21.0,21
2020-10-04 11:45:42,22.0,,,20.0,21.0,21
2020-10-04 12:15:42,22.0,,,20.0,21.0,21
2020-10-04 12:45:42,22.0,,,20.0,21.0,21
2020-10-04 13:15:42,22.0,,,20.0,21.0,21
2020-10-04 13:45:42,22.0,,,20.0,21.0,20.5
2020-10-04 14:15:42,22.0,,,20.0,21.0,20.5
2020-10-04 14:45:42,22.0,,,20.0,21.0,20.5
2020-10-04 15:15:42,22.0,,,20.5,21.0,20.5
2020-10-04 15:45:42,22.0,,,20.5,21.0,21
2020-10-04 16:15:42,22.0,,,20.5,21.0,21
2020-10-04 16:45:42,22.0,,,20.5,21.0,21
2020-10-04 17:15:42,22.0,,,20.5,21.0,21
2020-10-04 17:45:42,22.0,,,20.5,21.0,21
2020-10-04 18:15:42,22.0,,,20.5,21.0,21
2020-10-04 18:45:42,21.5,,,20.5,21.0,21
2020-10-04 19:15:42,21.5,,,20.5,21.0,21
2020-10-04 19:45:42,21.5,,,20.5,21.0,21
2020-10-04 20:15:42,21.5,,,20.5,21.0,21
2020-10-04 20:45:42,21.5,,,20.5,21.0,21.5
2020-10-04 21:15:42,21.5,,,20.5,21.0,21.5
2020-10-04 21:45:42,21.5,,,20.5,21.0,21.5
2020-10-04 22:15:42,21.5,,,20.5,21.0,21.5
2020-10-04 22:45:42,21.5,,,20.5,21.0,21.5
2020-10-04 23:15:42,21.5,,,20.0,21.0,21.5
2020-10-04 23:45:42,21.5,,,20.0,21.0,22
2020-10-05 00:15:42,21.5,,,20.0,21.0,22
2020-10-05 00:45:42,21.5,,,20.0,21.0,22
2020-10-05 01:15:42,21.5,,,20.0,21.0,22
2020-10-05 01:45:42,21.5,,,20.0,21.0,22
2020-10-05 02:15:42,21.5,,,20.0,21.0,22
2020-10-05 02:45:42,21.5,,,20.0,21.0,22
2020-10-05 03:15:42,21.5,,,20.0,21.0,22
2020-10-05 03:45:42,21.5,,,20.0,21.0,22
2020-10-05 04:15:42,21.5,,,19.5,21.0,22
2020-10-05 04:45:42,21.5,,,19.5,21.0,22
2020-10-05 05:15:42,21.5,,,19.5,21.0,22
2020-10-05 05:45:42,21.5,,,19.5,21.0,22
2020-10-05 06:15:42,21.5,,,19.5,21.0,22
2020-10-05 06:45:42,21.5,,,19.5,21.0,21.5
2020-10-05 07:15:42,21.5,,,19.5,21.0,21.5
2020-10-05 07:45:42,21.5,,,19.5,21.0,21.5
2020-10-05 08:15:42,21.5,,,20.0,21.0,21.5
2020-10-05 08:45:42,21.5,,,20.0,21.0,21.5
2020-10-05 09:15:42,21.5,,,20.0,21.0,21.5
2020-10-05 09:45:42,21.5,,,20.0,21.0,21.5
2020-10-05 10:15:42,22.0,,,20.0,21.0,21.5
2020-10-05 10:45:42,22.0,,,20.0,21.0,21.5
2020-10-05 11:15:42,22.0,,,20.5,21.5,21.5
2020-10-05 11:45:42,22.0,,,20.5,21.5,21.5
2020-10-05 12:15:42,22.0,,,20.5,21.5,21
2020-10-05 12:45:42,22.0,,,20.5,21.5,21
2020-10-05 13:15:42,22.0,,,21.0,21.5,21
2020-10-05 13:45:42,22.0,,,21.0,21.5,21
2020-10-05 14:15:42,22.0,,,21.0,21.5,21
2020-10-05 14:45:42,22.0,,,21.0,21.5,21
2020-10-05 15:15:42,22.5,,,21.0,21.5,21
2020-10-05 15:45:42,22.5,,,21.0,21.5,21
2020-10-05 16:15:42,22.5,,,21.0,21.5,21
2020-10-05 16:45:42,22.5,,,21.0,21.5,21
2020-10-05 17:15:42,22.5,,,21.0,21.5,21
2020-10-05 17:45:42,22.5,,,21.0,21.5,21
2020-10-05 18:15:42,22.0,,,21.0,21.5,21
2020-10-05 18:45:42,22.0,,,21.0,21.5,21.5
2020-10-05 19:15:42,22.0,,,21.0,21.5,21.5
2020-10-05 19:45:42,22.0,,,21.0,21.5,21.5
2020-10-05 20:15:42,22.0,,,21.0,21.5,21.5
2020-10-05 20:45:42,22.0,,,21.0,21.5,21.5
2020-10-05 21:15:42,22.0,,,21.0,21.5,21.5
2020-10-05 21:45:42,22.0,,,20.5,21.5,22
2020-10-05 22:15:42,22.0,,,20.5,21.5,22
2020-10-05 22:45:42,22.0,,,20.5,21.5,22
2020-10-05 23:15:42,22.0,,,20.5,21.5,22
2020-10-05 23:45:42,22.0,,,20.5,21.5,22
2020-10-06 00:15:42,22.0,,,20.5,21.5,22
2020-10-06 00:45:42,22.0,,,20.5,21.5,22.5
2020-10-06 01:15:42,21.5,,,20.0,21.5,22
2020-10-06 01:45:42,21.5,,,20.0,21.5,22
2020-10-06 02:15:42,21.5,,,20.0,21.5,22
2020-10-06 02:45:42,21.5,,,20.0,21.0,22
2020-10-06 03:15:42,21.5,,,20.0,21.0,22
2020-10-06 03:45:42,21.5,,,20.0,21.0,22
2020-10-06 04:15:42,21.5,,,20.0,21.0,22
2020-10-06 04:45:42,21.5,,,20.0,21.0,22
2020-10-06 05:15:42,21.5,,,20.0,21.0,22
2020-10-06 05:45:42,21.5,,,20.0,21.0,22
2020-10-06 06:15:42,21.5,,,20.0,21.0,22
2020-10-06 06:45:42,21.5,,,20.0,21.0,22
2020-10-06 07:15:42,21.5,,,20.0,21.0,22
2020-10-06 07:45:42,21.5,,,20.0,21.0,21.5
2020-10-06 08:15:42,22.0,,,20.0,21.0,21.5
2020-10-06 08:45:42,21.5,,,20.0,21.0,21.5
2020-10-06 09:15:42,21.5,,,20.0,21.0,21.5
2020-10-06 09:45:42,22.0,,,20.0,21.0,21.5
2020-10-06 10:15:42,22.0,,,20.0,21.0,21.5
2020-10-06 10:45:42,22.0,,,20.0,21.5,21.5
2020-10-06 11:15:42,22.0,,,20.0,21.5,21.5
2020-10-06 11:45:42,22.0,,,20.0,21.5,21.5
2020-10-06 12:15:42,22.0,,,20.5,21.5,21
2020-10-06 12:45:42,22.0,,,20.5,21.5,21
2020-10-06 13:15:42,22.0,,,20.5,21.5,21
2020-10-06 13:45:42,22.0,,,20.5,21.5,21
2020-10-06 14:15:42,22.0,,,20.5,21.5,21
2020-10-06 14:45:42,22.0,,,20.5,21.5,21
2020-10-06 15:15:42,22.0,,,20.5,22.0,21
2020-10-06 15:45:42,22.0,,,20.5,22.0,21
2020-10-06 16:15:42,22.0,,,20.5,22.0,21
2020-10-06 16:45:42,22.0,,,20.5,22.0,21
2020-10-06 17:15:42,22.0,,,20.5,22.0,21.5
2020-10-06 17:45:42,22.0,,,20.5,22.0,21.5
2020-10-06 18:15:42,22.0,,,20.0,22.0,21.5
2020-10-06 18:45:42,22.0,,,20.0,22.0,21.5
2020-10-06 19:15:42,22.0,,,20.0,22.0,21.5
2020-10-06 19:45:42,22.0,,,20.0,22.0,21.5
2020-10-06 20:15:42,22.0,,,19.5,22.0,21.5
2020-10-06 20:45:42,22.0,,,19.5,22.0,21.5
2020-10-06 21:15:42,22.0,,,19.5,21.5,21.5
2020-10-06 21:45:42,21.5,,,19.5,21.5,22
2020-10-06 22:15:42,21.5,,,19.5,21.5,22
2020-10-06 22:45:42,21.5,,,19.5,21.5,22
